cluster,country
1,Afghanistan
2,Albania
2,Algeria
1,Angola
2,Antigua and Barbuda
2,Argentina
2,Armenia
0,Australia
0,Austria
2,Azerbaijan
2,Bahamas
0,Bahrain
2,Bangladesh
2,Barbados
2,Belarus
0,Belgium
2,Belize
1,Benin
2,Bhutan
2,Bolivia
2,Bosnia and Herzegovina
1,Botswana
2,Brazil
0,Brunei
2,Bulgaria
1,Burkina Faso
1,Burundi
2,Cambodia
1,Cameroon
0,Canada
2,Cape Verde
1,Central African Republic
1,Chad
2,Chile
2,China
2,Colombia
1,Comoros
1,"Congo, Dem. Rep."
1,"Congo, Rep."
2,Costa Rica
1,Cote d'Ivoire
2,Croatia
0,Cyprus
0,Czech Republic
0,Denmark
2,Dominican Republic
2,Ecuador
2,Egypt
2,El Salvador
1,Equatorial Guinea
1,Eritrea
2,Estonia
2,Fiji
0,Finland
0,France
1,Gabon
1,Gambia
2,Georgia
0,Germany
1,Ghana
0,Greece
2,Grenada
2,Guatemala
1,Guinea
1,Guinea-Bissau
2,Guyana
1,Haiti
2,Hungary
0,Iceland
2,India
2,Indonesia
2,Iran
1,Iraq
0,Ireland
0,Israel
0,Italy
2,Jamaica
0,Japan
2,Jordan
2,Kazakhstan
1,Kenya
1,Kiribati
0,Kuwait
2,Kyrgyz Republic
1,Lao
2,Latvia
2,Lebanon
1,Lesotho
1,Liberia
2,Libya
2,Lithuania
0,Luxembourg
2,"Macedonia, FYR"
1,Madagascar
1,Malawi
2,Malaysia
2,Maldives
1,Mali
0,Malta
1,Mauritania
2,Mauritius
2,"Micronesia, Fed. Sts."
2,Moldova
2,Mongolia
2,Montenegro
2,Morocco
1,Mozambique
2,Myanmar
1,Namibia
2,Nepal
0,Netherlands
0,New Zealand
1,Niger
1,Nigeria
0,Norway
2,Oman
1,Pakistan
2,Panama
2,Paraguay
2,Peru
2,Philippines
2,Poland
0,Portugal
0,Qatar
2,Romania
2,Russia
1,Rwanda
2,Samoa
2,Saudi Arabia
1,Senegal
2,Serbia
2,Seychelles
1,Sierra Leone
0,Singapore
0,Slovak Republic
0,Slovenia
2,Solomon Islands
1,South Africa
0,South Korea
0,Spain
2,Sri Lanka
2,St. Vincent and the Grenadines
1,Sudan
2,Suriname
0,Sweden
0,Switzerland
2,Tajikistan
1,Tanzania
2,Thailand
1,Timor-Leste
1,Togo
2,Tonga
2,Tunisia
2,Turkey
2,Turkmenistan
1,Uganda
2,Ukraine
0,United Arab Emirates
0,United Kingdom
0,United States
2,Uruguay
2,Uzbekistan
2,Vanuatu
2,Venezuela
2,Vietnam
1,Yemen
1,Zambia
